Date,open,high,low,close,adjclose,volume,ticker
2022-01-04,23.10000038,23.20000076,22.95000076,23.04999924,21.33051682,6402243,IRFC.NS
2022-01-05,23.04999924,23.10000038,22.70000076,22.85000038,21.14543915,7127303,IRFC.NS
2022-01-06,22.79999924,22.95000076,22.70000076,22.85000038,21.14543915,7417986,IRFC.NS
2022-01-07,23,23.04999924,22.89999962,22.95000076,21.23797607,5352715,IRFC.NS
2022-01-10,23.04999924,23.04999924,22.89999962,22.95000076,21.23797607,8226337,IRFC.NS
2022-01-11,22.95000076,23.20000076,22.85000038,22.95000076,21.23797607,11344815,IRFC.NS
2022-01-12,23.14999962,23.14999962,22.95000076,23.04999924,21.33051682,7981078,IRFC.NS
2022-01-13,23.10000038,23.10000038,22.95000076,23,21.28424644,6196111,IRFC.NS
2022-01-14,23,23.75,22.89999962,23.70000076,21.93202972,16831189,IRFC.NS
2022-01-17,23.95000076,24.25,23.79999924,24.04999924,22.2559185,16579585,IRFC.NS
2022-01-18,24.25,24.35000038,23.64999962,23.70000076,21.93202972,7441045,IRFC.NS
2022-01-19,23.64999962,23.75,23.5,23.54999924,21.79321861,5504174,IRFC.NS
2022-01-20,23.54999924,23.75,23.5,23.54999924,21.79321861,5622661,IRFC.NS
2022-01-21,23.5,23.85000038,23.25,23.29999924,21.56186676,8028725,IRFC.NS
2022-01-24,23.35000038,23.5,22.75,22.85000038,21.14543915,12317944,IRFC.NS
2022-01-25,22.79999924,23.10000038,22.5,23,21.28424644,6995265,IRFC.NS
2022-01-27,23,23.14999962,22.79999924,22.95000076,21.23797607,7169492,IRFC.NS
2022-01-28,23.04999924,23.29999924,23,23.04999924,21.33051682,5703163,IRFC.NS
2022-01-31,23.39999962,23.39999962,23.14999962,23.35000038,21.60813904,6102682,IRFC.NS
2022-02-01,23.45000076,23.60000038,23.04999924,23.14999962,21.42305756,10345830,IRFC.NS
2022-02-02,23.25,23.39999962,23.14999962,23.25,21.5155983,5780813,IRFC.NS
2022-02-03,23.25,23.35000038,23.14999962,23.20000076,21.46932983,4151889,IRFC.NS
2022-02-04,23.20000076,23.29999924,23,23.04999924,21.33051682,5329628,IRFC.NS
2022-02-07,23.10000038,23.14999962,23,23.04999924,21.33051682,5132340,IRFC.NS
2022-02-08,23.10000038,23.14999962,22.89999962,23,21.28424644,5051898,IRFC.NS
2022-02-09,23.04999924,23.14999962,23,23.04999924,21.33051682,3686570,IRFC.NS
2022-02-10,23.14999962,23.5,23.04999924,23.14999962,21.42305756,9814830,IRFC.NS
2022-02-11,23.14999962,23.20000076,22.89999962,22.95000076,21.23797607,7856571,IRFC.NS
2022-02-14,22.79999924,22.85000038,22,22.10000038,20.4513855,11887542,IRFC.NS
2022-02-15,22.35000038,22.54999924,22.10000038,22.5,20.82154655,6329315,IRFC.NS
2022-02-16,22.60000038,22.70000076,22.45000076,22.54999924,20.86781693,5154180,IRFC.NS
2022-02-17,22.64999962,22.64999962,22.39999962,22.45000076,20.77527618,2990546,IRFC.NS
2022-02-18,22.45000076,22.45000076,22.20000076,22.25,20.59019661,3970610,IRFC.NS
2022-02-21,22.10000038,22.20000076,22,22.04999924,20.40511513,5325454,IRFC.NS
2022-02-22,21.79999924,21.89999962,21.64999962,21.75,20.12749481,7967669,IRFC.NS
2022-02-23,21.75,22.10000038,21.75,22,20.35884476,13657093,IRFC.NS
2022-02-24,21.64999962,21.64999962,20.89999962,21,19.43344307,15562873,IRFC.NS
2022-02-25,21.14999962,21.64999962,21.14999962,21.5,19.89614487,6627144,IRFC.NS
2022-02-28,21.39999962,21.64999962,21.20000076,21.60000038,19.9886837,3719485,IRFC.NS
2022-03-02,21.85000038,21.85000038,21.54999924,21.70000076,20.08122444,4596433,IRFC.NS
